,cnpj,name,email_address
0,11737276000173,Mauricio TI,ti_mauricio@timauricio.com.br
1,15060128000118,Friendly Advice,fadvice@gmail.com
2,17667288000155,Bettendorf's,betterndors_magalhaes@ig.com.br
3,17941630000163,Patricio cabelos,patriciocabelos@cabelospatricio.com.br
4,18329205000180,mica,mica@gmail.com
5,19895183000189,mendes confeitaria,confeitaria_mendes@confeitariamendes.com
6,23251892000107,Honest Air Group,honest_air@uol.com.br
7,34459173000194,011 Hamburguer,011_hamburguer@gmail.com
8,35567145000153,Parade of Shoes,shoesparades@gmail.com
9,35737433000109,Vinyl Fever,vinyl_fever@gmail.com
10,36576933000179,happy path,happy_path@gmail.com
11,43268257000131,Restaurante Clinicas,restaurante_clinicas@gmail.com
12,44041317000141,Sportmart,sportmart_2013@gmail.com
13,44681156000150,Jesse Cabelereiro,jesse_cabelos@outlook.com
14,44996062000170,Young Heart,youngheart@outlook.com
15,47260965000187,Manoel salgados,manoel_salgados@hotmail.com
16,48153586000150,Farmer Jack,farmerjackcompany@gmail.com
17,48975283000113,Lima Salgados,limasalgados@uol.com.br
18,53626391000110,sciavon pamonhas,pamonhassciavon@uol.com.br
19,55591005000128,mantts alicates,alicatesmantts@gmail.com
20,55801853000114,Marchello Mecanica,marchellomecanica@mecanicamarchello.com.br
21,56210041000167,Cut Above,cut_above@gmail.com
22,57781915000107,Casas Antonnova,casas.anto@gmail.com
23,58143458000180,Grade A Investment,grade_investiment_a@uol.com.br
24,61096307000122,Integra Investment Plan,integraplan_invest@uol.com.br
25,63444312000104,Athletica Food,athleticaf00d@gmail.com
26,63640525000101,Avant Garde Appraisal,agappraisal@gmail.com
27,64886016000126,Carvalho Chaveiros,chaveiroscarvalho@hotmail.com
28,66331359000150,Sapatos do Luiz,luiz_sapatosluiz@gmail.com
29,66627417000197,sterna cafe,sterna.cafe@gmail.com
30,69739046000123,unicornio store,financas_unicornio@uni.com
31,71192372000105,Keeney's,keeney@gmail.com
32,79827384000170,Fayva,favya_lidi@yahoo.com
33,81246158000148,Pews Costureiro,pews_costureiro@hotmail.com
34,85633121000123,Kash n' Karry,kash_nkarry0102@hotmail.com
35,86296771000193,Peixoto Bolos,peixotosbolos@ig.com.br
36,87492508000132,Huits Perfumes,huits_perfume@outlook.com
37,94080520000103,The Record Shops at TSS,recordshops@hotmail.com
38,97571666000131,schimotto sorvetes,schimotto_sorvetes@gmail.com
