ClientId,CreditStatus
698350,Ativo
817285,Ativo
962167,Ativo
1980380,Ativo
4059697,Reprovado
1101136,Ativo
1798734,Ativo
3494507,Ativo
553157,Reprovado
2281658,Bloqueado
340062,Reprovado
2211969,Reprovado
2896081,Ativo
1315317,Ativo
663697,Ativo
1869994,Ativo
607998,Reprovado
252690,Reprovado
3271112,Reprovado
1512300,Ativo
1870305,Ativo
945504,Reprovado
2089908,Reprovado
1269182,Ativo
2310752,Bloqueado
1806097,Ativo
3735274,Ativo
4379748,Reprovado
1277888,Ativo
1000699,Reprovado
4336857,Reprovado
1333272,Bloqueado
1613390,Ativo
823912,Ativo
3293855,Ativo
3076019,Reprovado
244409,Reprovado
1379100,Ativo
2233058,Ativo
2602977,Ativo
1787630,Reprovado
4009636,Reprovado
175232,Ativo
557137,Ativo
1718646,Bloqueado
1722926,Ativo
3888929,Reprovado
2291868,Ativo
1857111,Reprovado
2476522,Ativo
2790518,Ativo
312551,Ativo
1635739,Reprovado
859904,Reprovado
2764303,Ativo
3098833,Reprovado
1942522,Reprovado
3815972,Reprovado
11577,Bloqueado
2414764,Reprovado
2062508,Ativo
1176487,Ativo
1152279,Reprovado
1736723,Ativo
1317164,Ativo
3940530,Reprovado
1827285,Ativo
1029333,Ativo
2511089,Reprovado
2602737,Reprovado
3080331,Reprovado
1591466,Ativo
1955587,Ativo
2083806,Reprovado
171870,Reprovado
2995471,Ativo
1263308,Reprovado
971559,Ativo
669248,Reprovado
1701952,Bloqueado
322107,Reprovado
1403657,Ativo
930786,Ativo
1567823,Bloqueado
939689,Ativo
2937189,Reprovado
3935014,Reprovado
1251980,Reprovado
1577626,Ativo
2595007,Ativo
2899818,Ativo
2852029,Ativo
3434760,Reprovado
704859,Bloqueado
789459,Ativo
1392329,Ativo
2387957,Bloqueado
2377578,Reprovado
3309148,Reprovado
1810137,Bloqueado
1513843,Ativo
2494413,Ativo
889077,Reprovado
1226658,Reprovado
2827661,Ativo
3528431,Ativo
2441069,Ativo
3672294,Reprovado
1535145,Reprovado
2085696,Reprovado
2735702,Ativo
2653770,Reprovado
3364004,Ativo
827338,Ativo
1817843,Ativo
1986389,Ativo
1664608,Reprovado
2420823,Reprovado
2612730,Ativo
2722212,Ativo
3404426,Reprovado
4437408,Reprovado
1399673,Reprovado
1004322,Ativo
744128,Ativo
2292604,Ativo
549538,Reprovado
3564463,Ativo
3550977,Ativo
340373,Reprovado
2594342,Reprovado
2185911,Reprovado
3660230,Reprovado
1051450,Ativo
1053157,Reprovado
2100093,Reprovado
3491791,Reprovado
1590723,Ativo
190493,Reprovado
1202158,Reprovado
3753293,Reprovado
968043,Reprovado
1508245,Ativo
2259340,Reprovado
3805551,Reprovado
3141153,Ativo
3798442,Reprovado
4381956,Reprovado
1313420,Ativo
3432735,Ativo
998806,Bloqueado
2205782,Ativo
2402157,Reprovado
883193,Reprovado
1147514,Ativo
2061936,Ativo
1743449,Reprovado
2756143,Reprovado
4274446,Reprovado
922723,Ativo
1042197,Reprovado
1943448,Ativo
3313275,Ativo
1524625,Ativo
3118875,Ativo
1557255,Reprovado
3865347,Reprovado
2995046,Ativo
3653110,Reprovado
4057107,Reprovado
1338388,Bloqueado
1493047,Reprovado
351216,Ativo
2385624,Ativo
1517922,Reprovado
3947439,Reprovado
1257735,Reprovado
1617923,Reprovado
2310509,Ativo
1018958,Reprovado
1941869,Ativo
2132331,Reprovado
3297702,Reprovado
4318484,Reprovado
54672,Ativo
547045,Ativo
1557877,Reprovado
1789917,Bloqueado
1511642,Reprovado
3370616,Reprovado
1835434,Ativo
506386,Reprovado
2589862,Reprovado
3117446,Ativo
34037,Ativo
1199297,Ativo
2219464,Reprovado
3310160,Ativo
189790,Ativo
2472564,Ativo
4116614,Reprovado
1290745,Reprovado
1421369,Reprovado
1480679,Reprovado
4405913,Reprovado
958430,Ativo
3612452,Ativo
787251,Ativo
1738019,Reprovado
2766086,Ativo
4383067,Reprovado
1712405,Ativo
498245,Ativo
3617082,Ativo
3369187,Reprovado
437845,Ativo
1003847,Ativo
2564398,Bloqueado
3337103,Reprovado
2277706,Reprovado
985205,Reprovado
1404464,Reprovado
369900,Ativo
534913,Ativo
86834,Reprovado
289565,Reprovado
2362020,Reprovado
2745679,Reprovado
3328511,Reprovado
1555441,Ativo
1486142,Ativo
1342217,Reprovado
815495,Ativo
2322266,Ativo
3849407,Reprovado
3736806,Reprovado
4439730,Reprovado
1649465,Ativo
3558582,Reprovado
2627720,Ativo
1647150,Ativo
77817,Reprovado
3402161,Reprovado
244867,Ativo
1074967,Reprovado
1820994,Bloqueado
1848538,Ativo
3147115,Reprovado
2720201,Ativo
1246021,Reprovado
1891486,Ativo
1735876,Bloqueado
2201620,Ativo
1157813,Reprovado
1790453,Ativo
3554774,Reprovado
4056257,Reprovado
117783,Ativo
1995931,Ativo
2505555,Reprovado
2147464,Reprovado
1521173,Reprovado
489006,Reprovado
1332782,Reprovado
2467448,Ativo
3327061,Bloqueado
3677199,Reprovado
3348378,Bloqueado
1019416,Ativo
2551580,Ativo
1933948,Reprovado
844117,Reprovado
1519216,Ativo
3230550,Reprovado
1518791,Ativo
2237930,Reprovado
1787502,Ativo
1798366,Ativo
2737231,Ativo
2829615,Ativo
995701,Reprovado
1259675,Reprovado
1970645,Ativo
2027687,Ativo
3097354,Reprovado
2609354,Ativo
2247644,Bloqueado
2396763,Ativo
2161930,Ativo
1003221,Reprovado
2023214,Ativo
3116242,Ativo
2486750,Ativo
2547068,Bloqueado
2951101,Ativo
1667977,Reprovado
1045127,Ativo
2741039,Ativo
2033628,Ativo
2783240,Reprovado
2764486,Aprovado
1634343,Ativo
2940758,Reprovado
4206340,Reprovado
1701666,Ativo
2956984,Reprovado
2112408,Ativo
3775718,Ativo
106380,Ativo
1495312,Reprovado
2255000,Ativo
4232087,Reprovado
3435503,Reprovado
1540958,Ativo
1733536,Ativo
2271773,Ativo
4032550,Reprovado
4027034,Reprovado
1583113,Reprovado
820161,Ativo
2464200,Reprovado
3763768,Ativo
2399681,Reprovado
2659718,Reprovado
809,Reprovado
1931723,Ativo
166922,Reprovado
757957,Ativo
2019363,Ativo
811397,Reprovado
2764557,Ativo
